ID, Domain, len, len%, valid_acceptance, invalid_acceptance
0, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
1, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
2, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
3, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
4, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
5, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
6, blocksworld, 10, 0.0020185708518368995, 0.030303030303030304, 0.013468013468013467
7, blocksworld, 10, 0.0020185708518368995, 1.0, 0.594239776233282
8, blocksworld, 50, 0.010092854259184497, 0.030303030303030304, 0.013468013468013467
9, blocksworld, 30, 0.006055712555510699, 0.030303030303030304, 0.013468013468013467
10, blocksworld, 50, 0.010092854259184497, 0.030303030303030304, 0.013468013468013467
11, blocksworld, 50, 0.010092854259184497, 0.030303030303030304, 0.013468013468013467
12, blocksworld, 50, 0.010092854259184497, 0.030303030303030304, 0.013468013468013467
13, blocksworld, 40, 0.008074283407347598, 1.0, 0.6495341285505835
14, blocksworld, 40, 0.008074283407347598, 0.030303030303030304, 0.013468013468013467
15, blocksworld, 50, 0.010092854259184497, 0.030303030303030304, 0.013468013468013467
16, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
17, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
18, blocksworld, 90, 0.018167137666532097, 1.0, 0.6140058806673324
19, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
20, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
21, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
22, blocksworld, 96, 0.019378280177634235, 1.0, 0.6495341285505835
23, blocksworld, 98, 0.019781994348001614, 1.0, 0.6495341285505835
24, blocksworld, 98, 0.019781994348001614, 1.0, 0.6495341285505835
25, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
