ID, Domain, len, len%, acceptance_rate, invalid_acceptance_rate
0, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
1, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
2, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
3, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
4, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
5, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
6, blocksworld, 10, 0.0020185708518368995, 0.03571428571428571, 0.0
7, blocksworld, 10, 0.0020185708518368995, 1.0, 0.0
8, blocksworld, 50, 0.010092854259184497, 0.03571428571428571, 0.0
9, blocksworld, 30, 0.006055712555510699, 0.03571428571428571, 0.0
10, blocksworld, 50, 0.010092854259184497, 0.03571428571428571, 0.0
11, blocksworld, 50, 0.010092854259184497, 0.03571428571428571, 0.0
12, blocksworld, 50, 0.010092854259184497, 0.03571428571428571, 0.0
13, blocksworld, 40, 0.008074283407347598, 1.0, 0.0
14, blocksworld, 40, 0.008074283407347598, 0.03571428571428571, 0.0
15, blocksworld, 50, 0.010092854259184497, 0.03571428571428571, 0.0
16, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
17, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
18, blocksworld, 90, 0.018167137666532097, 1.0, 0.0
19, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
20, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
21, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
22, blocksworld, 96, 0.019378280177634235, 1.0, 0.0
23, blocksworld, 98, 0.019781994348001614, 1.0, 0.0
24, blocksworld, 98, 0.019781994348001614, 1.0, 0.0
25, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
26, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
27, blocksworld, 90, 0.018167137666532097, 1.0, 0.0
28, blocksworld, 20, 0.004037141703673799, 1.0, 0.0
29, blocksworld, 12, 0.0024222850222042794, 1.0, 0.0
30, blocksworld, 10, 0.0020185708518368995, 1.0, 0.0
31, blocksworld, 20, 0.004037141703673799, 1.0, 0.0
32, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
33, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
34, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
35, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
36, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
37, blocksworld, 20, 0.004037141703673799, 0.03571428571428571, 0.0
38, blocksworld, 92, 0.018570851836899476, 1.0, 0.0
39, blocksworld, 96, 0.019378280177634235, 1.0, 0.0
40, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
41, blocksworld, 92, 0.018570851836899476, 1.0, 0.0
42, blocksworld, 80, 0.016148566814695196, 1.0, 0.0
43, blocksworld, 90, 0.018167137666532097, 1.0, 0.0
44, blocksworld, 76, 0.015341138473960436, 1.0, 0.0
45, blocksworld, 100, 0.020185708518368994, 0.03571428571428571, 0.0
46, blocksworld, 100, 0.020185708518368994, 1.0, 0.0
47, blocksworld, 74, 0.014937424303593056, 1.0, 0.0
48, blocksworld, 164, 0.03310456197012515, 1.0, 0.0
49, blocksworld, 188, 0.03794913201453371, 1.0, 0.0
50, blocksworld, 180, 0.036334275333064193, 1.0, 0.0
51, blocksworld, 164, 0.03310456197012515, 1.0, 0.0
52, blocksworld, 158, 0.03189341945902301, 1.0, 0.0
53, blocksworld, 164, 0.03310456197012515, 1.0, 0.0
54, blocksworld, 140, 0.028259991925716592, 1.0, 0.0
55, blocksworld, 192, 0.03875656035526847, 1.0, 0.0
56, blocksworld, 188, 0.03794913201453371, 1.0, 0.0
57, blocksworld, 160, 0.03229713362939039, 1.0, 0.0
58, blocksworld, 16, 0.003229713362939039, 1.0, 0.0
59, blocksworld, 12, 0.0024222850222042794, 1.0, 0.0
60, blocksworld, 30, 0.006055712555510699, 0.03571428571428571, 0.0
61, blocksworld, 30, 0.006055712555510699, 1.0, 0.0
62, blocksworld, 14, 0.002825999192571659, 1.0, 0.0
63, blocksworld, 30, 0.006055712555510699, 0.03571428571428571, 0.0
64, blocksworld, 30, 0.006055712555510699, 1.0, 0.0
65, blocksworld, 30, 0.006055712555510699, 0.03571428571428571, 0.0
66, blocksworld, 30, 0.006055712555510699, 0.03571428571428571, 0.0
67, blocksworld, 128, 0.025837706903512312, 1.0, 0.0
68, blocksworld, 144, 0.029067420266451354, 1.0, 0.0
69, blocksworld, 150, 0.030278562777553492, 0.03571428571428571, 0.0
70, blocksworld, 132, 0.026645135244247074, 1.0, 0.0
71, blocksworld, 150, 0.030278562777553492, 1.0, 0.0
72, blocksworld, 98, 0.019781994348001614, 1.0, 0.0
73, blocksworld, 122, 0.024626564392410174, 1.0, 0.0
74, blocksworld, 150, 0.030278562777553492, 1.0, 0.0
75, blocksworld, 150, 0.030278562777553492, 1.0, 0.0
76, blocksworld, 128, 0.025837706903512312, 1.0, 0.0
77, blocksworld, 244, 0.04925312878482035, 1.0, 0.0
78, blocksworld, 268, 0.05409769882922891, 1.0, 0.0
79, blocksworld, 218, 0.04400484457004441, 1.0, 0.0
80, blocksworld, 280, 0.056519983851433184, 1.0, 0.0
81, blocksworld, 240, 0.04844570044408559, 1.0, 0.0
82, blocksworld, 242, 0.04884941461445297, 1.0, 0.0
83, blocksworld, 298, 0.060153411384739605, 1.0, 0.0
84, blocksworld, 300, 0.060557125555106985, 1.0, 0.0
85, blocksworld, 282, 0.05692369802180056, 1.0, 0.0
86, blocksworld, 188, 0.03794913201453371, 1.0, 0.0
87, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
88, blocksworld, 24, 0.004844570044408559, 1.0, 0.0
89, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
90, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
91, blocksworld, 14, 0.002825999192571659, 1.0, 0.0
92, blocksworld, 40, 0.008074283407347598, 1.0, 0.0
93, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
94, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
95, blocksworld, 30, 0.006055712555510699, 1.0, 0.0
96, blocksworld, 50, 0.010092854259184497, 1.0, 0.0
97, blocksworld, 140, 0.028259991925716592, 1.0, 0.0
98, blocksworld, 182, 0.03673798950343157, 1.0, 0.0
99, blocksworld, 142, 0.02866370609608397, 1.0, 0.0
100, blocksworld, 244, 0.04925312878482035, 1.0, 0.0
101, blocksworld, 180, 0.036334275333064193, 1.0, 0.0
102, blocksworld, 152, 0.03068227694792087, 1.0, 0.0
103, blocksworld, 174, 0.03512313282196205, 1.0, 0.0
104, blocksworld, 200, 0.04037141703673799, 1.0, 0.0
105, blocksworld, 190, 0.03835284618490109, 1.0, 0.0
106, blocksworld, 184, 0.03714170367379895, 1.0, 0.0
107, blocksworld, 314, 0.06338312474767864, 1.0, 0.0
108, blocksworld, 358, 0.072264836495761, 1.0, 0.0
109, blocksworld, 372, 0.07509083568833266, 1.0, 0.0
110, blocksworld, 388, 0.0783205490512717, 1.0, 0.0
111, blocksworld, 364, 0.07347597900686315, 1.0, 0.0
112, blocksworld, 380, 0.07670569236980218, 1.0, 0.0
113, blocksworld, 456, 0.09204683084376261, 1.0, 0.0
114, blocksworld, 428, 0.0863948324586193, 1.0, 0.0
115, blocksworld, 370, 0.07468712151796528, 1.0, 0.0
116, blocksworld, 350, 0.07064997981429148, 1.0, 0.0
117, blocksworld, 94, 0.018974566007266856, 1.0, 0.0
118, blocksworld, 70, 0.014129995962858296, 1.0, 0.0
119, blocksworld, 86, 0.017359709325797335, 1.0, 0.0
120, blocksworld, 28, 0.005651998385143318, 1.0, 0.0
121, blocksworld, 42, 0.008477997577714978, 1.0, 0.0
122, blocksworld, 14, 0.002825999192571659, 1.0, 0.0
123, blocksworld, 52, 0.010496568429551878, 1.0, 0.0
124, blocksworld, 84, 0.016955995155429955, 1.0, 0.0
125, blocksworld, 162, 0.03270084779975777, 1.0, 0.0
126, blocksworld, 286, 0.05773112636253532, 1.0, 0.0
127, blocksworld, 262, 0.05288655631812677, 1.0, 0.0
128, blocksworld, 170, 0.03431570448122729, 1.0, 0.0
129, blocksworld, 400, 0.08074283407347597, 1.0, 0.0
130, blocksworld, 186, 0.03754541784416633, 1.0, 0.0
131, blocksworld, 82, 0.016552280985062576, 1.0, 0.0
132, blocksworld, 198, 0.03996770286637061, 1.0, 0.0
133, blocksworld, 180, 0.036334275333064193, 1.0, 0.0
134, blocksworld, 218, 0.04400484457004441, 1.0, 0.0
135, blocksworld, 432, 0.08720226079935406, 1.0, 0.0
136, blocksworld, 510, 0.10294711344368188, 1.0, 0.0
137, blocksworld, 690, 0.13928138877674606, 1.0, 0.0
138, blocksworld, 582, 0.11748082357690755, 1.0, 0.0
139, blocksworld, 598, 0.12071053693984658, 1.0, 0.0
140, blocksworld, 528, 0.1065805409769883, 1.0, 0.0
